year,countries_with_data,mean,median,std,min,max,q25,q75
2012,179,129.21041929773662,8.64333333333333,677.0491599494012,0.0207207207207207,7230.0,1.949615092703025,32.0745817891481
2013,179,128.61782537572304,8.64333333333333,675.8445233078226,0.0207207207207207,7300.0,1.949615092703025,29.7309696923312
2014,224,100.96262318801152,8.552435897435895,537.229408066543,0.0207207207207207,6070.0,2.501691940641605,26.1551282051282
2015,224,98.87662575441871,8.466179532238005,520.9653254094306,0.0207207207207207,6090.0,2.521136400195328,27.0293474714519
2016,224,98.39803824335569,8.645437158469946,516.0255206740696,0.0207207207207207,6065.0,2.5277504397011277,26.467552968323872
2017,224,106.57416146787466,8.644658469945355,607.9541723518525,0.0207207207207207,7750.0,2.4293574650380125,26.972880267214776
2018,224,106.00947394916578,8.644658469945355,606.4535146395312,0.0207207207207207,7750.0,2.56254984186469,26.469822219147773
2019,224,106.3539630719599,8.629986416559792,606.7702241796127,0.0207207207207207,7750.0,2.616419059968885,25.9910850166021
2020,224,105.67812784145212,8.644658469945355,604.907517957522,0.0207207207207207,7750.0,2.6209434010963673,26.23881394884095
2021,224,105.42968822802025,8.644658469945355,604.2984310445609,0.0207207207207207,7750.0,2.633084056479335,25.819434760561577
2022,175,126.97224219704276,8.75520833333333,681.6578421441559,0.0207207207207207,7750.0,1.90763861188672,31.81271771631205
